Iter,PGF_Reward,Holo_Reward,PGF_Time,Holo_Step,Holo_Time
0,-3.3591,-4.2837,0.37,0.041896,0.51
1,-1.6755,-5.1897,0.21,0.024680,0.17
2,-2.3652,-3.1958,0.20,0.012141,0.15
3,-4.6138,-4.7261,0.21,0.012031,0.14
4,-3.7097,-7.0326,0.21,0.033227,0.15
5,-3.1659,-6.3049,0.22,0.005186,0.15
6,-2.1929,-4.3750,0.22,0.008281,0.15
7,-2.5418,-4.7986,0.23,0.006126,0.15
8,-2.5779,-6.0989,0.21,0.022481,0.15
9,-2.7949,-7.9838,0.22,0.024175,0.15
10,-2.7861,-11.0400,0.22,0.012968,0.15
11,-2.5188,-10.2877,0.21,0.036898,0.16
12,-1.0621,-8.6869,0.21,0.005094,0.15
13,-2.8675,-9.6100,0.21,0.053179,0.17
14,-1.8287,-10.4820,0.21,0.004722,0.15
15,-1.1759,-8.7956,0.21,0.016880,0.15
16,-0.7465,-8.6293,0.21,0.034434,0.17
17,-3.3991,-9.9981,0.22,0.034201,0.17
18,-2.5427,-8.7756,0.22,0.050181,0.15
19,-2.0374,-8.1709,0.23,0.032920,0.16
